,uuid,municipio,estrato_vivienda,nivel_educativo,cilin_grupo,modelo_grupo,dias_semana,herramienta_trabajo,transporte_cotidiano,trabajo_domicilios,trabajo_transporte_pasajeros,frecuencia_revisionpre,costo_casco,costo_mantenimiento,gasto_anual,licencia_moto,licencia_curso,experiencia,riesgo_velocidad,riesgo_sinlucesdia,riesgo_sinlucesnoche,riesgo_sinreflectivos,motivo_dinero,motivo_tiempo,motivo_independencia,epp_casco,epp_guantes,epp_botas,epp_rodilleras,epp_reflectivos,epp_chaquetaprot,epp_chaquetairbag,edad,sexo,clase_moto,tipo_freno,sector
66,1_10_1058,MEDELLÍN,2,Técnica / Tecnológica,100-125,2001-2010,5,0,1,0,0,Mayor a 75%,192000,26000.0,900000.0,1,0,11-20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,32,hombre,moto_street,frenos_tambor,sector_servicio
68,1_10_106,MEDELLÍN,2,Técnica / Tecnológica,<100,2001-2010,7,1,0,0,0,Mayor a 75%,396000,420000.0,962000.0,1,0,11-20,1,0,1,1,1,1,1,1,1,1,1,1,0,0,39,hombre,moto_street,frenos_tambor,sector_transporte
72,1_10_1062,MEDELLÍN,3,Universitaria o postgrado,100-125,2011-2020,6,0,1,0,0,Menos del 25%,283000,145000.0,980000.0,1,0,6-10,1,0,1,1,1,1,0,1,0,0,0,0,0,0,26,mujer,moto_scooter,frenos_mixto,sector_servicio
75,1_10_1065,MEDELLÍN,3,Universitaria o postgrado,100-125,2011-2020,5,0,1,0,0,Entre 25% y 50%,910000,106000.0,2155000.0,1,1,6-10,1,0,1,1,0,1,1,1,0,0,0,0,0,0,21,hombre,moto_scooter,frenos_disco,sector_servicio
78,1_10_1068,MEDELLÍN,2,Técnica / Tecnológica,100-125,2001-2010,5,0,1,0,0,Mayor a 75%,212000,117000.0,1510000.0,1,0,6-10,1,1,1,1,1,1,1,1,1,0,0,1,0,0,19,hombre,moto_street,frenos_tambor,sector_transporte
79,1_10_1069,MEDELLÍN,3,Universitaria o postgrado,126-200,2011-2020,6,1,1,0,0,Entre 50% y 75%,182000,81000.0,1140000.0,1,1,6-10,1,0,1,1,1,1,0,1,0,0,0,1,1,0,28,hombre,moto_street,frenos_disco,sector_transporte
82,1_10_1071,MEDELLÍN,3,Primaria o menos,100-125,2011-2020,7,1,1,1,0,Mayor a 75%,135000,142000.0,1690000.0,1,0,6-10,1,1,1,1,1,1,1,1,1,0,0,1,0,0,33,hombre,moto_street,frenos_mixto,sector_transporte
84,1_10_1073,MEDELLÍN,5,Secundaria,100-125,2011-2020,5,1,1,1,0,Entre 50% y 75%,252000,167000.0,1560000.0,1,0,6-10,1,0,1,1,0,0,1,1,1,0,0,1,0,0,23,hombre,moto_street,frenos_mixto,sector_servicio
89,1_10_1078,MEDELLÍN,3,Universitaria o postgrado,126-200,2021-2022,7,1,0,0,0,Menos del 25%,473000,171000.0,1730000.0,1,0,11-20,1,0,1,1,1,1,1,1,0,0,0,0,0,0,26,mujer,moto_scooter,frenos_mixto,sector_servicio
91,1_10_108,MEDELLÍN,2,Técnica / Tecnológica,100-125,2001-2010,7,1,1,0,0,Mayor a 75%,148000,192000.0,1130000.0,1,0,6-10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,22,hombre,moto_street,frenos_tambor,sector_servicio
92,1_10_1080,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Nunca,275000,366000.0,2380000.0,1,0,11-20,1,0,1,1,1,1,1,1,0,0,0,0,0,0,27,mujer,moto_scooter,frenos_mixto,sector_comercio
94,1_10_1082,MEDELLÍN,6,Universitaria o postgrado,100-125,2011-2020,5,0,1,0,0,Nunca,857000,377000.0,1630000.0,1,1,3-5,1,0,1,1,1,1,0,1,0,0,0,0,0,0,22,hombre,moto_street,frenos_mixto,sector_servicio
95,1_10_1083,MEDELLÍN,2,Técnica / Tecnológica,<100,<=2000,7,0,1,0,0,Entre 50% y 75%,246000,155000.0,1150000.0,1,1,6-10,1,0,1,1,1,1,1,1,1,0,0,1,0,0,19,hombre,moto_street,frenos_tambor,sector_comercio
96,1_10_1084,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Nunca,28000,191000.0,1234000.0,1,1,6-10,1,1,1,1,1,0,0,1,0,0,0,0,0,0,38,hombre,moto_scooter,frenos_disco,sector_servicio
97,1_10_1085,MEDELLÍN,2,Secundaria,100-125,2011-2020,7,0,1,0,0,Nunca,183000,107000.0,949000.0,1,1,6-10,1,1,0,1,0,1,1,1,0,0,0,0,0,0,33,hombre,moto_scooter,frenos_mixto,sector_servicio
98,1_10_1086,MEDELLÍN,3,Secundaria,126-200,2021-2022,7,1,0,0,0,Mayor a 75%,269000,123000.0,1240000.0,1,1,6-10,1,0,1,1,1,1,1,1,1,1,0,0,0,0,23,hombre,moto_street,frenos_mixto,sector_transporte
99,1_10_1087,MEDELLÍN,2,Secundaria,100-125,2021-2022,7,0,1,0,0,Nunca,158000,179000.0,975000.0,1,1,0-2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,37,mujer,moto_scooter,frenos_disco,sector_servicio
100,1_10_1088,MEDELLÍN,2,Secundaria,100-125,2021-2022,7,0,1,0,0,Nunca,159000,123000.0,975000.0,1,1,0-2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,38,mujer,moto_street,frenos_disco,sector_servicio
